State Code,State Name,Type,Male,Female,Total
01,Alabama,Audit Clerk,2743.0,18207.0,20950
02,Alaska,Audit Clerk,874.0,2237.0,3111
04,Arizona,Audit Clerk,6350.0,25354.0,31704
05,Arkansas,Audit Clerk,2712.0,10008.0,12720
06,California,Audit Clerk,26429.0,109060.0,135489
08,Colorado,Audit Clerk,4648.0,19300.0,23948
09,Connecticut,Audit Clerk,2213.0,11374.0,13587
10,Delaware,Audit Clerk,1747.0,4552.0,6299
11,District of Columbia,Audit Clerk,607.0,362.0,969
12,Florida,Audit Clerk,14684.0,59654.0,74338
13,Georgia,Audit Clerk,6933.0,31493.0,38426
15,Hawaii,Audit Clerk,676.0,3265.0,3941
16,Idaho,Audit Clerk,1197.0,5535.0,6732
17,Illinois,Audit Clerk,10991.0,51233.0,62224
18,Indiana,Audit Clerk,5669.0,22522.0,28191
19,Iowa,Audit Clerk,1912.0,13296.0,15208
20,Kansas,Audit Clerk,2811.0,10230.0,13041
21,Kentucky,Audit Clerk,4128.0,16212.0,20340
22,Louisiana,Audit Clerk,1792.0,19674.0,21466
23,Maine,Audit Clerk,1436.0,5232.0,6668
24,Maryland,Audit Clerk,5830.0,17502.0,23332
25,Massachusetts,Audit Clerk,6396.0,24668.0,31064
26,Michigan,Audit Clerk,6636.0,34205.0,40841
27,Minnesota,Audit Clerk,6618.0,17798.0,24416
28,Mississippi,Audit Clerk,1082.0,8132.0,9214
29,Missouri,Audit Clerk,4517.0,21936.0,26453
30,Montana,Audit Clerk,418.0,3590.0,4008
31,Nebraska,Audit Clerk,2547.0,7449.0,9996
32,Nevada,Audit Clerk,1478.0,9474.0,10952
33,New Hampshire,Audit Clerk,570.0,5433.0,6003
34,New Jersey,Audit Clerk,10696.0,28593.0,39289
35,New Mexico,Audit Clerk,1553.0,7777.0,9330
36,New York,Audit Clerk,22872.0,65604.0,88476
37,North Carolina,Audit Clerk,6018.0,25432.0,31450
38,North Dakota,Audit Clerk,483.0,2879.0,3362
39,Ohio,Audit Clerk,9482.0,48655.0,58137
40,Oklahoma,Audit Clerk,2736.0,14391.0,17127
41,Oregon,Audit Clerk,3147.0,13478.0,16625
42,Pennsylvania,Audit Clerk,8869.0,50030.0,58899
44,Rhode Island,Audit Clerk,645.0,4659.0,5304
45,South Carolina,Audit Clerk,2377.0,15829.0,18206
46,South Dakota,Audit Clerk,1064.0,3974.0,5038
47,Tennessee,Audit Clerk,4101.0,27797.0,31898
48,Texas,Audit Clerk,22245.0,84325.0,106570
49,Utah,Audit Clerk,3962.0,10974.0,14936
50,Vermont,Audit Clerk,20.0,1771.0,1791
51,Virginia,Audit Clerk,8136.0,27706.0,35842
53,Washington,Audit Clerk,4656.0,21480.0,26136
54,West Virginia,Audit Clerk,765.0,6435.0,7200
55,Wisconsin,Audit Clerk,4259.0,23103.0,27362
56,Wyoming,Audit Clerk,333.0,1975.0,2308
72,Puerto Rico,Audit Clerk,1216.0,7627.0,8843
01,Alabama,Audit Clerk,2743.0,18207.0,20950
02,Alaska,Audit Clerk,874.0,2237.0,3111
04,Arizona,Audit Clerk,6350.0,25354.0,31704
05,Arkansas,Audit Clerk,2712.0,10008.0,12720
06,California,Audit Clerk,26429.0,109060.0,135489
08,Colorado,Audit Clerk,4648.0,19300.0,23948
09,Connecticut,Audit Clerk,2213.0,11374.0,13587
10,Delaware,Audit Clerk,1747.0,4552.0,6299
11,District of Columbia,Audit Clerk,607.0,362.0,969
12,Florida,Audit Clerk,14684.0,59654.0,74338
13,Georgia,Audit Clerk,6933.0,31493.0,38426
15,Hawaii,Audit Clerk,676.0,3265.0,3941
16,Idaho,Audit Clerk,1197.0,5535.0,6732
17,Illinois,Audit Clerk,10991.0,51233.0,62224
18,Indiana,Audit Clerk,5669.0,22522.0,28191
19,Iowa,Audit Clerk,1912.0,13296.0,15208
20,Kansas,Audit Clerk,2811.0,10230.0,13041
21,Kentucky,Audit Clerk,4128.0,16212.0,20340
22,Louisiana,Audit Clerk,1792.0,19674.0,21466
23,Maine,Audit Clerk,1436.0,5232.0,6668
24,Maryland,Audit Clerk,5830.0,17502.0,23332
25,Massachusetts,Audit Clerk,6396.0,24668.0,31064
26,Michigan,Audit Clerk,6636.0,34205.0,40841
27,Minnesota,Audit Clerk,6618.0,17798.0,24416
28,Mississippi,Audit Clerk,1082.0,8132.0,9214
29,Missouri,Audit Clerk,4517.0,21936.0,26453
30,Montana,Audit Clerk,418.0,3590.0,4008
31,Nebraska,Audit Clerk,2547.0,7449.0,9996
32,Nevada,Audit Clerk,1478.0,9474.0,10952
33,New Hampshire,Audit Clerk,570.0,5433.0,6003
34,New Jersey,Audit Clerk,10696.0,28593.0,39289
35,New Mexico,Audit Clerk,1553.0,7777.0,9330
36,New York,Audit Clerk,22872.0,65604.0,88476
37,North Carolina,Audit Clerk,6018.0,25432.0,31450
38,North Dakota,Audit Clerk,483.0,2879.0,3362
39,Ohio,Audit Clerk,9482.0,48655.0,58137
40,Oklahoma,Audit Clerk,2736.0,14391.0,17127
41,Oregon,Audit Clerk,3147.0,13478.0,16625
42,Pennsylvania,Audit Clerk,8869.0,50030.0,58899
44,Rhode Island,Audit Clerk,645.0,4659.0,5304
45,South Carolina,Audit Clerk,2377.0,15829.0,18206
46,South Dakota,Audit Clerk,1064.0,3974.0,5038
47,Tennessee,Audit Clerk,4101.0,27797.0,31898
48,Texas,Audit Clerk,22245.0,84325.0,106570
49,Utah,Audit Clerk,3962.0,10974.0,14936
50,Vermont,Audit Clerk,20.0,1771.0,1791
51,Virginia,Audit Clerk,8136.0,27706.0,35842
53,Washington,Audit Clerk,4656.0,21480.0,26136
54,West Virginia,Audit Clerk,765.0,6435.0,7200
55,Wisconsin,Audit Clerk,4259.0,23103.0,27362
56,Wyoming,Audit Clerk,333.0,1975.0,2308
72,Puerto Rico,Audit Clerk,1216.0,7627.0,8843
01,Alabama,Specialist,13022.0,23811.0,36833
02,Alaska,Specialist,1991.0,3981.0,5972
04,Arizona,Specialist,33392.0,40139.0,73531
05,Arkansas,Specialist,8983.0,10987.0,19970
06,California,Specialist,184630.0,242654.0,427284
08,Colorado,Specialist,31925.0,36901.0,68826
09,Connecticut,Specialist,28135.0,27746.0,55881
10,Delaware,Specialist,4971.0,6505.0,11476
11,District of Columbia,Specialist,5445.0,5622.0,11067
12,Florida,Specialist,92427.0,114036.0,206463
13,Georgia,Specialist,44294.0,56354.0,100648
15,Hawaii,Specialist,5060.0,8686.0,13746
16,Idaho,Specialist,3150.0,8084.0,11234
17,Illinois,Specialist,67934.0,74557.0,142491
18,Indiana,Specialist,25266.0,35859.0,61125
19,Iowa,Specialist,15719.0,20590.0,36309
20,Kansas,Specialist,15574.0,19717.0,35291
21,Kentucky,Specialist,15977.0,19990.0,35967
22,Louisiana,Specialist,12579.0,26686.0,39265
23,Maine,Specialist,4711.0,7303.0,12014
24,Maryland,Specialist,38156.0,47713.0,85869
25,Massachusetts,Specialist,46162.0,49542.0,95704
26,Michigan,Specialist,38895.0,52535.0,91430
27,Minnesota,Specialist,33214.0,39715.0,72929
28,Mississippi,Specialist,6858.0,12915.0,19773
29,Missouri,Specialist,29513.0,39517.0,69030
30,Montana,Specialist,3185.0,6475.0,9660
31,Nebraska,Specialist,10111.0,13770.0,23881
32,Nevada,Specialist,10271.0,14109.0,24380
33,New Hampshire,Specialist,5719.0,9366.0,15085
34,New Jersey,Specialist,73785.0,60056.0,133841
35,New Mexico,Specialist,5767.0,9989.0,15756
36,New York,Specialist,139095.0,115074.0,254169
37,North Carolina,Specialist,41345.0,58808.0,100153
38,North Dakota,Specialist,3388.0,7273.0,10661
39,Ohio,Specialist,54616.0,64217.0,118833
40,Oklahoma,Specialist,15416.0,23923.0,39339
41,Oregon,Specialist,15170.0,22765.0,37935
42,Pennsylvania,Specialist,68583.0,72925.0,141508
44,Rhode Island,Specialist,5124.0,7608.0,12732
45,South Carolina,Specialist,14515.0,21346.0,35861
46,South Dakota,Specialist,3976.0,5633.0,9609
47,Tennessee,Specialist,23678.0,34985.0,58663
48,Texas,Specialist,127323.0,164795.0,292118
49,Utah,Specialist,17640.0,17332.0,34972
50,Vermont,Specialist,1568.0,4611.0,6179
51,Virginia,Specialist,40214.0,58724.0,98938
53,Washington,Specialist,31303.0,44979.0,76282
54,West Virginia,Specialist,4431.0,7353.0,11784
55,Wisconsin,Specialist,27339.0,35477.0,62816
56,Wyoming,Specialist,1331.0,2058.0,3389
72,Puerto Rico,Specialist,12950.0,16480.0,29430
01,Alabama,Finance Manager,4620.0,7328.0,11948
02,Alaska,Finance Manager,896.0,1145.0,2041
04,Arizona,Finance Manager,10553.0,14233.0,24786
05,Arkansas,Finance Manager,3491.0,3910.0,7401
06,California,Finance Manager,64697.0,68911.0,133608
08,Colorado,Finance Manager,10462.0,12489.0,22951
09,Connecticut,Finance Manager,10670.0,9749.0,20419
10,Delaware,Finance Manager,3177.0,2930.0,6107
11,District of Columbia,Finance Manager,1990.0,1449.0,3439
12,Florida,Finance Manager,36984.0,36547.0,73531
13,Georgia,Finance Manager,16772.0,20047.0,36819
15,Hawaii,Finance Manager,1967.0,2475.0,4442
16,Idaho,Finance Manager,2228.0,2304.0,4532
17,Illinois,Finance Manager,24916.0,26730.0,51646
18,Indiana,Finance Manager,6513.0,10426.0,16939
19,Iowa,Finance Manager,4880.0,7655.0,12535
20,Kansas,Finance Manager,4082.0,4981.0,9063
21,Kentucky,Finance Manager,4588.0,6470.0,11058
22,Louisiana,Finance Manager,4482.0,8817.0,13299
23,Maine,Finance Manager,1621.0,2560.0,4181
24,Maryland,Finance Manager,10093.0,12298.0,22391
25,Massachusetts,Finance Manager,17957.0,17439.0,35396
26,Michigan,Finance Manager,12341.0,18944.0,31285
27,Minnesota,Finance Manager,12343.0,12775.0,25118
28,Mississippi,Finance Manager,2368.0,3849.0,6217
29,Missouri,Finance Manager,9543.0,11794.0,21337
30,Montana,Finance Manager,1292.0,1731.0,3023
31,Nebraska,Finance Manager,3273.0,3513.0,6786
32,Nevada,Finance Manager,3130.0,4470.0,7600
33,New Hampshire,Finance Manager,2146.0,3287.0,5433
34,New Jersey,Finance Manager,26145.0,21230.0,47375
35,New Mexico,Finance Manager,1361.0,3360.0,4721
36,New York,Finance Manager,51556.0,43449.0,95005
37,North Carolina,Finance Manager,18449.0,19260.0,37709
38,North Dakota,Finance Manager,604.0,1861.0,2465
39,Ohio,Finance Manager,18500.0,22880.0,41380
40,Oklahoma,Finance Manager,4053.0,6416.0,10469
41,Oregon,Finance Manager,5337.0,5587.0,10924
42,Pennsylvania,Finance Manager,22541.0,24652.0,47193
44,Rhode Island,Finance Manager,2123.0,1719.0,3842
45,South Carolina,Finance Manager,4441.0,9016.0,13457
46,South Dakota,Finance Manager,1967.0,2935.0,4902
47,Tennessee,Finance Manager,9681.0,9346.0,19027
48,Texas,Finance Manager,46612.0,51504.0,98116
49,Utah,Finance Manager,7116.0,5216.0,12332
50,Vermont,Finance Manager,980.0,1491.0,2471
51,Virginia,Finance Manager,16638.0,18719.0,35357
53,Washington,Finance Manager,9002.0,14607.0,23609
54,West Virginia,Finance Manager,1184.0,2437.0,3621
55,Wisconsin,Finance Manager,9803.0,10889.0,20692
56,Wyoming,Finance Manager,332.0,915.0,1247
72,Puerto Rico,Finance Manager,2567.0,2996.0,5563
01,Alabama,Accountants,6849.0,15068.0,21917
02,Alaska,Accountants,1520.0,3068.0,4588
04,Arizona,Accountants,15467.0,24403.0,39870
05,Arkansas,Accountants,4740.0,6673.0,11413
06,California,Accountants,96296.0,166105.0,262401
08,Colorado,Accountants,15008.0,23786.0,38794
09,Connecticut,Accountants,14323.0,15751.0,30074
10,Delaware,Accountants,2777.0,3775.0,6552
11,District of Columbia,Accountants,2001.0,3084.0,5085
12,Florida,Accountants,46604.0,73860.0,120464
13,Georgia,Accountants,22684.0,37826.0,60510
15,Hawaii,Accountants,2582.0,5912.0,8494
16,Idaho,Accountants,1285.0,5190.0,6475
17,Illinois,Accountants,32797.0,50566.0,83363
18,Indiana,Accountants,14083.0,25379.0,39462
19,Iowa,Accountants,6157.0,13005.0,19162
