State Code,State Name,Type,Male,Female,Total
01,Alabama,Psychiatric,2882.0,24869.0,27751
02,Alaska,Psychiatric,1022.0,3270.0,4292
04,Arizona,Psychiatric,5048.0,18723.0,23771
05,Arkansas,Psychiatric,3102.0,17769.0,20871
06,California,Psychiatric,26395.0,112185.0,138580
08,Colorado,Psychiatric,4349.0,23098.0,27447
09,Connecticut,Psychiatric,4386.0,29030.0,33416
10,Delaware,Psychiatric,765.0,5561.0,6326
11,District of Columbia,Psychiatric,250.0,2653.0,2903
12,Florida,Psychiatric,18957.0,121072.0,140029
13,Georgia,Psychiatric,5964.0,43384.0,49348
15,Hawaii,Psychiatric,1175.0,4220.0,5395
16,Idaho,Psychiatric,1073.0,7870.0,8943
17,Illinois,Psychiatric,8115.0,69941.0,78056
18,Indiana,Psychiatric,4630.0,39380.0,44010
19,Iowa,Psychiatric,2119.0,20597.0,22716
20,Kansas,Psychiatric,3419.0,19493.0,22912
21,Kentucky,Psychiatric,2523.0,21916.0,24439
22,Louisiana,Psychiatric,2781.0,24979.0,27760
23,Maine,Psychiatric,1467.0,10837.0,12304
24,Maryland,Psychiatric,6613.0,34916.0,41529
25,Massachusetts,Psychiatric,6720.0,51499.0,58219
26,Michigan,Psychiatric,7655.0,59900.0,67555
27,Minnesota,Psychiatric,6885.0,36394.0,43279
28,Mississippi,Psychiatric,2212.0,14475.0,16687
29,Missouri,Psychiatric,6195.0,41785.0,47980
30,Montana,Psychiatric,1225.0,5984.0,7209
31,Nebraska,Psychiatric,936.0,14111.0,15047
32,Nevada,Psychiatric,645.0,7953.0,8598
33,New Hampshire,Psychiatric,597.0,7443.0,8040
34,New Jersey,Psychiatric,7505.0,52542.0,60047
35,New Mexico,Psychiatric,2432.0,8557.0,10989
36,New York,Psychiatric,27098.0,227533.0,254631
37,North Carolina,Psychiatric,9436.0,62343.0,71779
38,North Dakota,Psychiatric,997.0,6426.0,7423
39,Ohio,Psychiatric,9472.0,84765.0,94237
40,Oklahoma,Psychiatric,2866.0,22279.0,25145
41,Oregon,Psychiatric,4152.0,11768.0,15920
42,Pennsylvania,Psychiatric,11350.0,81139.0,92489
44,Rhode Island,Psychiatric,917.0,10506.0,11423
45,South Carolina,Psychiatric,1523.0,29368.0,30891
46,South Dakota,Psychiatric,596.0,6519.0,7115
47,Tennessee,Psychiatric,4886.0,30190.0,35076
48,Texas,Psychiatric,22135.0,125627.0,147762
49,Utah,Psychiatric,2736.0,9902.0,12638
50,Vermont,Psychiatric,664.0,2331.0,2995
51,Virginia,Psychiatric,3808.0,37083.0,40891
53,Washington,Psychiatric,4486.0,27426.0,31912
54,West Virginia,Psychiatric,2244.0,10689.0,12933
55,Wisconsin,Psychiatric,3663.0,38675.0,42338
56,Wyoming,Psychiatric,502.0,4555.0,5057
72,Puerto Rico,Psychiatric,1764.0,5832.0,7596
01,Alabama,Psychiatric,2882.0,24869.0,27751
02,Alaska,Psychiatric,1022.0,3270.0,4292
04,Arizona,Psychiatric,5048.0,18723.0,23771
05,Arkansas,Psychiatric,3102.0,17769.0,20871
06,California,Psychiatric,26395.0,112185.0,138580
08,Colorado,Psychiatric,4349.0,23098.0,27447
09,Connecticut,Psychiatric,4386.0,29030.0,33416
10,Delaware,Psychiatric,765.0,5561.0,6326
11,District of Columbia,Psychiatric,250.0,2653.0,2903
12,Florida,Psychiatric,18957.0,121072.0,140029
13,Georgia,Psychiatric,5964.0,43384.0,49348
15,Hawaii,Psychiatric,1175.0,4220.0,5395
16,Idaho,Psychiatric,1073.0,7870.0,8943
17,Illinois,Psychiatric,8115.0,69941.0,78056
18,Indiana,Psychiatric,4630.0,39380.0,44010
19,Iowa,Psychiatric,2119.0,20597.0,22716
20,Kansas,Psychiatric,3419.0,19493.0,22912
21,Kentucky,Psychiatric,2523.0,21916.0,24439
22,Louisiana,Psychiatric,2781.0,24979.0,27760
23,Maine,Psychiatric,1467.0,10837.0,12304
24,Maryland,Psychiatric,6613.0,34916.0,41529
