State Code,State Name,Type,Male,Female,Total
01,Alabama,Manufacturing,190949.0,66276.0,257225
02,Alaska,Manufacturing,0.0,0.0,0
04,Arizona,Manufacturing,129871.0,52836.0,182707
05,Arkansas,Manufacturing,107801.0,44928.0,152729
06,California,Manufacturing,1020705.0,421201.0,1441906
08,Colorado,Manufacturing,125018.0,42920.0,167938
09,Connecticut,Manufacturing,119726.0,42914.0,162640
10,Delaware,Manufacturing,20941.0,9194.0,30135
11,District of Columbia,Manufacturing,0.0,0.0,0
12,Florida,Manufacturing,294846.0,110216.0,405062
13,Georgia,Manufacturing,309168.0,131714.0,440882
15,Hawaii,Manufacturing,11780.0,5645.0,17425
16,Idaho,Manufacturing,50364.0,14144.0,64508
17,Illinois,Manufacturing,463010.0,187851.0,650861
18,Indiana,Manufacturing,380532.0,142070.0,522602
19,Iowa,Manufacturing,151196.0,55243.0,206439
20,Kansas,Manufacturing,120229.0,36568.0,156797
21,Kentucky,Manufacturing,187578.0,66623.0,254201
22,Louisiana,Manufacturing,110604.0,25026.0,135630
23,Maine,Manufacturing,39226.0,9744.0,48970
24,Maryland,Manufacturing,80661.0,34460.0,115121
25,Massachusetts,Manufacturing,195701.0,79796.0,275497
26,Michigan,Manufacturing,570745.0,191694.0,762439
27,Minnesota,Manufacturing,246703.0,100306.0,347009
28,Mississippi,Manufacturing,100489.0,40877.0,141366
29,Missouri,Manufacturing,215580.0,78246.0,293826
30,Montana,Manufacturing,16460.0,4275.0,20735
31,Nebraska,Manufacturing,65250.0,26182.0,91432
32,Nevada,Manufacturing,41646.0,13498.0,55144
33,New Hampshire,Manufacturing,55401.0,19895.0,75296
34,New Jersey,Manufacturing,209600.0,110414.0,320014
35,New Mexico,Manufacturing,21670.0,7808.0,29478
36,New York,Manufacturing,345612.0,145524.0,491136
37,North Carolina,Manufacturing,360491.0,167854.0,528345
38,North Dakota,Manufacturing,18715.0,6063.0,24778
39,Ohio,Manufacturing,543443.0,187144.0,730587
40,Oklahoma,Manufacturing,105784.0,31624.0,137408
41,Oregon,Manufacturing,145137.0,46234.0,191371
42,Pennsylvania,Manufacturing,458162.0,162148.0,620310
44,Rhode Island,Manufacturing,35022.0,12399.0,47421
45,South Carolina,Manufacturing,189250.0,74821.0,264071
46,South Dakota,Manufacturing,28067.0,11307.0,39374
47,Tennessee,Manufacturing,255331.0,100165.0,355496
48,Texas,Manufacturing,730346.0,242316.0,972662
49,Utah,Manufacturing,94956.0,34073.0,129029
50,Vermont,Manufacturing,19103.0,6826.0,25929
51,Virginia,Manufacturing,182847.0,64854.0,247701
53,Washington,Manufacturing,231255.0,71633.0,302888
54,West Virginia,Manufacturing,41470.0,8485.0,49955
55,Wisconsin,Manufacturing,335278.0,127885.0,463163
56,Wyoming,Manufacturing,0.0,0.0,0
72,Puerto Rico,Manufacturing,43718.0,23842.0,67560
